Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,269.390015,269.390015,263.820007,268.269989,266.174103,846800
2019-09-19,268.760010,272.420013,268.609985,270.019989,267.910400,903700
2019-09-20,269.980011,272.910004,267.459991,269.179993,267.076965,1584200
2019-09-23,268.390015,270.989990,268.209991,269.000000,266.898407,803500
2019-09-24,270.760010,271.670013,264.010010,264.850006,262.780792,1169500
2019-09-25,264.329987,267.100006,260.350006,266.429993,264.348450,983000
2019-09-26,267.079987,270.630005,266.420013,269.720001,267.612762,1182300
2019-09-27,271.320007,271.320007,259.260010,263.190002,261.133820,1020100
2019-09-30,263.500000,267.269989,262.410004,265.940002,263.862305,1135600
2019-10-01,267.690002,268.269989,263.380005,264.299988,262.235107,1007300
2019-10-02,263.209991,263.209991,255.470001,260.450012,258.415192,1375000
2019-10-03,259.429993,263.540009,255.410004,263.000000,260.945251,1270300
2019-10-04,264.049988,267.829987,262.010010,267.089996,265.003296,1312900
2019-10-07,264.899994,268.100006,264.859985,266.760010,264.675903,1551300
2019-10-08,265.329987,266.200012,260.989990,260.989990,258.950958,1340000
2019-10-09,262.869995,265.119995,262.369995,264.000000,262.470459,864200
2019-10-10,262.359985,268.940002,262.359985,267.529999,265.980011,1177400
2019-10-11,270.399994,273.809998,269.420013,270.070007,268.505310,1068600
2019-10-14,269.989990,271.660004,268.899994,269.059998,267.501129,1024300
2019-10-15,270.059998,274.109985,269.100006,273.500000,271.915436,1042100
2019-10-16,271.519989,271.690002,265.809998,269.149994,267.590637,1065500
2019-10-17,269.850006,270.790009,263.730011,266.529999,264.985779,879800
2019-10-18,267.670013,267.670013,260.540009,262.470001,260.949341,1551800
2019-10-21,264.480011,264.500000,258.579987,262.200012,260.680908,1040400
2019-10-22,260.739990,263.549988,253.179993,253.330002,251.862289,1482400
2019-10-23,253.330002,258.970001,252.539993,255.970001,254.486984,1227800
2019-10-24,257.130005,260.839996,255.839996,258.899994,257.399994,1071500
2019-10-25,259.130005,260.279999,256.700012,257.670013,256.177124,1185800
2019-10-28,259.209991,259.559998,256.269989,258.609985,257.111664,1027100
